Affiliation,Country,count,latitude,longitude
Chulalongkorn University,Thailand,18902,13.74310735,100.5328837
"Faculty of Medicine, Chulalongkorn University",Thailand,2092,13.73325,100.536024
King Chulalongkorn Memorial Hospital,Thailand,1755,13.73288335,100.5353217
Mahidol University,Thailand,1152,13.79465205,100.3218583
Universiti Malaya,Malaysia,638,3.1257602,101.6558796
University of Wisconsin-Madison,United States,608,43.08027445,-89.43095872
Università degli Studi di Padova,Italy,598,45.4066496,11.87744071
Imperial College London,United Kingdom,591,51.4989595,-0.175640693
"University of Maryland, College Park",United States,584,38.99041245,-76.94385859
Benemerita Universidad Autonoma de Puebla,Mexico,574,18.9998493,-98.19915105
"University of California, Davis",United States,574,38.53379035,-121.7907544
Università degli Studi di Milano-Bicocca,Italy,573,45.51827605,9.213904175
National Taiwan University,Taiwan,572,25.0168175,121.5384571
University of Seoul,South Korea,570,37.58302005,127.0591754
University of Rochester,United States,566,43.129864,-77.62878399
University of Minnesota Twin Cities,United States,564,44.9863392,-93.1794558
Université Paris-Saclay,France,561,48.7119486,2.1715347
"University of California, San Diego",United States,558,32.87924375,-117.2311247
Universität Zürich,Switzerland,557,47.37377355,8.550955
Charles University,Czech Republic,556,60.4518905,22.2791628
Johns Hopkins University,United States,555,39.33020225,-76.62185358
University of Illinois at Chicago,United States,555,41.8689223,-87.64858476
"University of California, Riverside",United States,553,33.9642567,-117.3397858
The Catholic University of America,United States,553,38.9391024,-76.99996417
The Ohio State University,United States,553,40.00568015,-83.02866124
Universität Hamburg,Germany,552,53.56819605,9.98441016
University of Florida,United States,551,29.6328837,-82.34901302
National and Kapodistrian University of Athens,Greece,551,38.9953683,21.9877132
Seoul National University,South Korea,549,37.4670085,126.949073
Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional,Mexico,548,19.4326296,-99.1331785
Universiteit Gent,Belgium,548,51.00784845,3.710883068
Massachusetts Institute of Technology,United States,547,42.3582529,-71.09662724
University of Bristol,United Kingdom,547,51.4905582,-2.630482498
"University of California, Los Angeles",United States,546,34.07087775,-118.4468503
Sungkyunkwan University,South Korea,545,37.3003187,126.9697911
Universiteit Antwerpen,Belgium,545,51.22431915,4.411447081
Université Libre de Bruxelles,Belgium,544,50.81347185,4.381235729
Helsingin Yliopisto,Finland,544,60.22672205,25.01767005
University of Virginia,United States,542,38.0410576,-78.50550841
Universidad Autónoma de Madrid,Spain,541,40.5453765,-3.694957766
Vrije Universiteit Brussel,Belgium,541,50.8240378,4.3987584
Chiang Mai University,Thailand,540,18.80092635,98.95215523
Purdue University,United States,540,40.430028,-86.92642115
Università di Pisa,Italy,540,43.7221587,10.5227771
Chonnam National University,South Korea,539,35.1769099,126.9068927
Università degli Studi di Napoli Federico II,Italy,539,42.6384261,12.674297
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,539,50.7791657,6.068920936
Texas A&amp;M University,United States,538,39.7837304,-100.445882
Università degli Studi di Perugia,Italy,538,43.1163861,12.38531598
Florida State University,United States,536,30.44235995,-84.29747867
Università degli Studi di Firenze,Italy,536,43.7735739,11.28332083
Alma Mater Studiorum Università di Bologna,Italy,536,44.4982886,11.35445702
Università degli Studi di Pavia,Italy,536,45.18692655,9.156876823
ETH Zürich,Switzerland,536,47.413218,8.5374914
University of Iowa,United States,535,41.63110235,-91.54075202
Northwestern University,United States,535,42.0557157,-87.67529455
"INFN, Laboratori Nazionali Di Frascati",Italy,535,42.6384261,12.674297
Eötvös Loránd Tudományegyetem,Hungary,534,47.4934799,19.06189933
"Universidad de Los Andes, Colombia",Colombia,533,4.6014026,-74.06490497
Institute of High Energy Physics Chinese Academy of Science,China,533,35.0000663,104.999955
Università degli Studi di Catania,Italy,533,37.52951565,15.0672216
Yerevan Physics Institute,Armenia,533,40.20397165,44.48220982
